% Model:              all_models_oak_case_sol1.mph
% Version:            COMSOL 4.3.2.164
% Date:               Sep 24 2015, 14:18
% Table:              10000tempsOak - 
% Time                   Tv (K)                   Tst (K), Point: 19       Tc (K), Point: 22        Tl (K), Point: 23        Tw (K), Point: 24        Tsa (K)
0                        293.2220203929194        294.7696567599678        293.15402152170657       293.8798196205724        294.6916719565971        294.7766360446685
0.05                     317.3285262612159        392.8693609898256        293.2471915926152        394.35629585294487       381.6811524937207        388.5258228337866
0.1                      337.4264831253794        427.841112972682         294.7314187386368        435.4392222060332        410.6718421186706        420.3341997882096
0.15000000000000002      355.34907249828956       452.97087750219646       299.4309325769129        464.4709459787931        430.51633156908747       442.8564310934969
0.2                      371.6384787515837        472.99029748869225       306.9334757562965        487.0825329835221        445.7723486986964        460.65199760290415
0.25                     386.62744315115873       489.93050695973096       316.0776547965079        505.7910751079748        458.3956026991523        475.68424715889046
0.30000000000000004      400.5229428300105        504.7040251418871        326.0489053388529        521.7711592014681        469.28964624057573       488.8310662266338
0.35000000000000003      413.4578249422931        517.7718107504066        336.41251856663314       535.6283565914523        478.91848532284587       500.52777226278994
0.4                      425.558755261519         529.5174946864469        346.8375419301394        547.8659851835943        487.6511313328627        511.12840191410373
0.45                     436.9242032317389        540.1912281827904        357.1453073776919        558.8131557411548        495.7143110677007        520.8541485928667
0.5                      447.640641774207         549.9824248056364        367.2373153186277        568.7165517562725        503.2614983885102        529.864653570288
0.55                     457.79336296548973       559.0586790543865        377.0557991002194        577.7918838722526        510.41273265954726       538.2957273648847
0.6000000000000001       467.4164532015407        567.4782010784347        386.59668724557685       586.1131034067246        517.2032985599085        546.1921551352972
0.65                     476.54174783525144       575.2967520742675        395.8531564588073        593.7512294624161        523.6681757168483        553.5972762358773
0.7000000000000001       485.23606307254045       582.6246283881742        404.82295912371893       600.8432027538676        529.868095638725         560.5962601230055
0.75                     493.50440855596946       589.4691821420832        413.5076241207677        607.3979800161283        535.8064092216407        567.1946668108718
0.8                      501.4132458019562        595.9322697183637        421.9194695247708        613.540702882083         541.533459045996         573.4701292259128
