% Model:              all_models_pine_case_sol1.mph
% Version:            COMSOL 4.3.2.164
% Date:               Sep 24 2015, 14:22
% Table:              20000tempsPine - 
% Time                   Tvol (K)                 Tst (K), Point: 6        Tc (K), Point: 9         Tl (K), Point: 10        Tw (K), Point: 11        Tsa (K)
0                        293.1980519419785        294.4136242318855        293.15093854246896       293.31063664194414       293.52248557025297       294.53350510688796
0.05                     308.4308376301162        412.05241713685524       293.1504568969428        397.67204605278914       399.80668895981336       410.00737386835425
0.1                      320.8451306468911        448.32153483679383       293.1542834476315        440.0285377023464        433.5421838118202        444.3056930278508
0.15000000000000002      331.8925992488071        472.6775081328726        293.1751695190892        468.7933592582466        455.81887781643144       467.199425159713
0.2                      342.01016359293385       491.38273152778635       293.2658844396014        490.92280798733003       472.6668098068691        484.70311438820113
0.25                     351.4199575815225        506.6651113524873        293.5233083572277        508.97459133382904       486.2656061774245        498.94888256002605
0.30000000000000004      360.2442458593381        519.5252250788154        294.0461605989542        524.1121233125971        497.5824387553457        510.89443846488524
0.35000000000000003      368.5842394543747        530.6833769358693        294.92735417295273       537.1817739732585        507.31082216380554       521.2292240575449
0.4                      376.5148067238542        540.5825408922631        296.2096016195918        548.7119871578637        515.8694449596171        530.3768357559985
0.45                     384.0828659181466        549.472020383103         297.89550351107306       559.0026971543666        523.495164588699         538.5752439575199
0.5                      391.31761001307495       557.4931874146072        299.96728976785363       568.2245909286466        530.3271691138056        545.9590658791075
0.55                     398.2586613970628        564.8288191282362        302.38770213064623       576.6005094474011        536.5344775256735        552.7029887138945
0.6000000000000001       404.9272532045905        571.5660196748819        305.1213419175726        584.2371978857827        542.2002263728791        558.8899648665656
0.65                     411.3450118325794        577.7915852736764        308.13085165038586       591.2412904287585        547.40637763721          564.6027392185221
0.7000000000000001       417.532463163329         583.5814146049573        311.3737054457604        597.7066448946009        552.2241888418708        569.9136726490992
0.75                     423.508275633026         588.9980279901196        314.8062632942469        603.7110685412181        556.7123395753789        574.882304352509
0.8                      429.2978546572894        594.1149296537466        318.36900865768445       609.3469157925598        560.9399199673497        579.578404926477
0.8500000000000001       434.90482671021084       598.9429273338361        322.0535007825304        614.6277375096297        564.917087160484         584.0122396719282
0.9                      440.3335585729239        603.4924379534634        325.85012030149664       619.56659503011          568.6541801866895        588.1936183446736
0.9500000000000001       445.60734591592075       607.8237980964205        329.70655136672383       624.2391407242613        572.2098256792733        592.1795540433159
