% Model:              all_models_oak_case_sol1.mph
% Version:            COMSOL 4.3.2.164
% Date:               Sep 24 2015, 14:19
% Table:              200tempsOak - 
% Time                   Tv (K)                   Tst (K), Point: 97       Tc (K), Point: 100       Tl (K), Point: 101       Tw (K), Point: 102       Tsa (K)
0                        294.4827981844386        298.2990703519014        293.1575345789557        298.3411488007973        298.2061726954026        298.6929180560362
0.05                     556.6491083925989        565.3368897046004        546.6070008077911        557.0450531531557        554.8492807749368        562.0114607536162
0.1                      653.0791001527018        657.983420896002         647.4202484819997        653.2309812699606        652.0039292353426        656.0689702759475
0.15000000000000002      703.1123409757125        705.995229964012         699.7885107076329        703.1830824252481        702.4648216432984        704.8603754691346
0.2                      730.98713624819          732.728769950807         728.9797972230033        731.0249253914403        730.5919825529139        732.0405922732269
0.25                     747.6324281597853        748.688792495857         746.4151625510817        747.6534044888973        747.3910768304468        748.2704157541561
0.30000000000000004      757.8655249360007        758.4991126749926        757.1355276330466        757.8772433742897        757.7199461633863        758.2478166143594
0.35000000000000003      763.943100884419         764.3249785977608        763.5031363238184        763.9499502309185        763.8552003286386        764.1734232559878
0.4                      767.6028371951044        767.8329979198265        767.3376740177464        767.606886401459         767.5497995883435        767.7416217022472
0.45                     769.8148458832194        769.9532608850182        769.655384539109         769.8172505149379        769.7829050996141        769.8982945788027
0.5                      771.1703582962635        771.252530642825         771.0756925152142        771.1717671183052        771.1513742511406        771.2198932048497
0.55                     772.079686257815         772.1241191490963        772.0284956964911        772.08038364598          772.0693628421474        772.106468159114
0.6000000000000001       772.630628496472         772.6521897980012        772.6057849113726        772.6308908097154        772.6255498344277        772.643623708245
0.65                     772.9173168088125        772.926976220292         772.9061860495792        772.9173913205128        772.9149939658289        772.923138545483
0.7000000000000001       773.088486703574         773.091039719681         773.0855432479316        773.0884591906824        773.0878197325404        773.090025335337
0.75                     773.1485024563316        773.1485633583897        773.1484297865724        773.148455357949         773.1484326656929        773.1485391957212
0.8                      773.1871465518641        773.1856033763397        773.1889223669291        773.1870864949449        773.187464126817         773.1862164523156
0.8500000000000001       773.1887205753605        773.1871124596034        773.1905719143149        773.1886701077216        773.1890677906804        773.1877513020844
0.9                      773.1861016282343        773.1846025021076        773.1878278980671        773.1860602129761        773.1864326441928        773.1851980318291
0.9500000000000001       773.1781334239244        773.1769652815543        773.1794787388203        773.1781029427502        773.178393617184         773.1774293169987
1                        773.1701594853703        773.1693224571545        773.1711235203206        773.1701388322233        773.1703459628595        773.1696549595241
1                        773.1701594853703        773.1693224571545        773.1711235203206        773.1701388322233        773.1703459628595        773.1696549595241
1.1                      773.1605445160155        773.1601067018034        773.1610487856826        773.1605343187778        773.160641017906         773.1602806244782
1.2                      773.1554840265197        773.1552562300288        773.155746258852         773.1554763489502        773.1555302630406        773.1553467358214
1.3                      773.15201315467          773.1519295304107        773.1521094236724        773.1520093657103        773.1520281112366        773.1519627556612
1.4                      773.1503704492125        773.1503550983044        773.1503881778841        773.1503692239756        773.1503721899196        773.1503611919334
1.5                      773.1497127197804        773.1497246705178        773.1496989891173        773.1497131259499        773.1497103995955        773.1497199196382
1.6                      773.1495331787227        773.149552573574         773.1495108571808        773.149534219087         773.1495301298455        773.1495448671744
1.7000000000000002       773.149663241132         773.1496772290826        773.1496471377509        773.1496639723471        773.1496609920673        773.1496716718771
1.8                      773.1497362822346        773.1497472350862        773.149723671177         773.1497367078903        773.1497341132291        773.1497428837258
1.9                      773.1498582687813        773.1498641561485        773.1498514913561        773.1498582498474        773.1498564078295        773.149861816715
2                        773.1499178257719        773.1499212399744        773.1499138962704        773.1499176135021        773.1499161268274        773.1499198828383
2.1                      773.1499537890364        773.1499557104809        773.1499515792485        773.1499534985925        773.1499522364765        773.1499549461063
2.2                      773.1499661585848        773.149967567668         773.1499645402902        773.1499659051184        773.1499647367767        773.1499670065299
2.3                      773.149983943481         773.1499846137486        773.1499831756439        773.1499837219666        773.149982821656         773.1499843462335
2.4000000000000004       773.1499971162531        773.149997238393         773.1499969783049        773.1499969631793        773.1499963997134        773.1499971889999
2.5                      773.1500021988217        773.1500021082569        773.1500023039179        773.1500021651254        773.1500019707452        773.1500021439374
2.6                      773.1500033493252        773.1500032095013        773.1500035094343        773.1500034289804        773.1500035580942        773.1500032652757
2.7                      773.150006271381         773.1500060099157        773.1500065712561        773.1500063802993        773.1500066805525        773.1500061141662
2.8                      773.1500064244447        773.1500061567006        773.1500067316874        773.1500065406885        773.1500069447185        773.1500062634792
2.9000000000000004       773.1500038085015        773.1500036498561        773.1500039907288        773.1500039101484        773.1500043505924        773.1500037132295
3                        773.150003365667         773.150003225524         773.1500035267247        773.1500034487775        773.1500038625409        773.1500032815062
3.1                      773.1500027604652        773.1500026455539        773.1500028925534        773.1500028125909        773.1500031345613        773.1500026914288
3.2                      773.1500017645818        773.1500016911557        773.1500018489972        773.1500017724522        773.150001937321         773.1500017204175
3.3000000000000003       773.150000862194         773.1500008263562        773.1500009034203        773.1500008335353        773.1500008495728        773.1500008405775
3.4000000000000004       773.1500004647321        773.1500004454462        773.1500004869383        773.1500004250938        773.1500003630931        773.1500004530491
3.5                      773.1500001851546        773.1500001774768        773.1500001939577        773.1500001432854        773.1500000152187        773.1500001804366
3.6                      773.1500000219181        773.1500000210061        773.1500000229016        773.1499999864516        773.1499998050379        773.1500000212679
3.7                      773.1499998900167        773.1499998945939        773.1499998847008        773.1499998608963        773.1499996810717        773.1499998926819
