% Model:              all_models_pine_case_sol1.mph
% Version:            COMSOL 4.3.2.164
% Date:               Sep 24 2015, 14:24
% Table:              200tempsPine - 
% Time                   Tv (K)                   Tst (K), Point: 97       Tc (K), Point: 100       Tl (K), Point: 101       Tw (K), Point: 102       Tsa (K)
0                        294.9176473761653        299.9839482214232        293.16000078559114       300.0376511751881        299.86046995088617       300.504320376417
0.05                     596.3275275735311        605.6780961179414        585.4324757488891        596.8318266540224        594.4512149443536        602.1270230432482
0.1                      688.8461172871267        693.3949022786533        683.5558758475208        689.0151146908926        687.869907934552         691.6278832641585
0.15000000000000002      730.3701625946583        732.6956838361175        727.6674152536751        730.4422973174127        729.8593314388418        731.7849217017173
0.2                      751.1407262534468        752.3414758523285        749.745663415831         751.1741617307706        750.8737189806976        751.869368067922
0.25                     762.0061177046416        762.6152334199079        761.2985512417531        762.0220189987368        761.8697178512871        762.3752548753437
0.30000000000000004      767.4286972705695        767.7416075401488        767.0652254468116        767.4366881263273        767.3584861575634        767.6182497196005
0.35000000000000003      770.2384019530111        770.3977077312582        770.0533607461434        770.2424150513737        770.2026010390828        770.3348784262225
0.4                      771.7652302600078        771.8410183059319        771.6771987120569        771.7670723482873        771.7481289094328        771.8111182735431
0.45                     772.5938456398068        772.6242870795924        772.5584816337145        772.5944601480169        772.5868520226314        772.6122744748078
0.5                      772.9597840506717        772.9701951224426        772.9476881323773        772.959930373043         772.9573166232667        772.9660867123823
0.55                     773.1327718054382        773.1337136913895        773.1316745071895        773.1327180821293        773.1324732697876        773.1333418409572
0.6000000000000001       773.1860725038514        773.184096617342         773.1883647545785        773.1859770156044        773.1864675436505        773.184876309115
0.65                     773.1900505934254        773.1878576371997        773.1925961915712        773.1899681180448        773.190517493668         773.1887229288443
0.7000000000000001       773.1811219082132        773.1794181413337        773.1831001166418        773.1810623796899        773.1814882923541        773.1800903628848
0.75                     773.171597100064         773.1704148623787        773.1729699390426        773.1715586718327        773.1718520176515        773.1708813033531
0.8                      773.1639513535391        773.1631876797932        773.1648382114262        773.1639277999275        773.1641153478173        773.1634889765149
0.8500000000000001       773.1590698081155        773.1585732994015        773.1596463498968        773.159053694301         773.1591746417582        773.1587691958634
0.9                      773.1559802825491        773.1556527967757        773.1563603922343        773.1559669134297        773.1560466106364        773.1557820195095
0.9500000000000001       773.1532356070226        773.1530584005327        773.1534412624352        773.1532272052779        773.153269994231         773.1531283278681
1                        773.1515973298865        773.1515098769883        773.1516988729444        773.1515924778658        773.1516137557611        773.1515443837073
1                        773.1515973298865        773.1515098769883        773.1516988729444        773.1515924778658        773.1516137557611        773.1515443837073
1.1                      773.1498446114723        773.1498531548845        773.1498347534962        773.1498444411296        773.1498427599846        773.1498497798962
1.2                      773.1495429388757        773.1495679748824        773.1495138893312        773.1495444913596        773.1495387718168        773.1495580946695
1.3                      773.1496673984517        773.1496856116743        773.1496462569351        773.1496684588818        773.1496638930084        773.1496784249524
1.4                      773.1498078220875        773.1498183457811        773.1497956065011        773.1498081030613        773.1498051314948        773.1498141929425
1.5                      773.1499081633117        773.1499131934322        773.1499023259875        773.149907946301         773.1499061941153        773.1499112078974
1.6                      773.1499555030747        773.1499579425666        773.1499526749251        773.1499551341018        773.1499540574248        773.1499569788767
1.7000000000000002       773.1499728468161        773.1499743382612        773.1499711211853        773.1499725455911        773.1499718658026        773.14997374838
1.8                      773.1499943411739        773.1499946542897        773.1499939816812        773.1499941221703        773.1499938985187        773.1499945297927
1.9                      773.1500016553873        773.1500015653114        773.1500017606174        773.1500016432763        773.1500017536342        773.1500016007172
2                        773.1500049017553        773.1500046322384        773.1500052132328        773.1500050296281        773.150005337424         773.1500047389841
2.1                      773.1500066036451        773.1500062408611        773.1500070233456        773.1500067568012        773.1500071218592        773.1500063844741
2.2                      773.1500036201166        773.1500034213778        773.1500038503027        773.1500037507257        773.1500040433881        773.150003500119
2.3                      773.150003241456         773.1500030635865        773.1500034475671        773.1500033339053        773.1500035536525        773.150003134011
2.4000000000000004       773.1500021136774        773.1500019977462        773.1500022480574        773.1500021375269        773.1500022244279        773.1500020435817
2.5                      773.150000873808         773.1500008259361        773.1500009293304        773.150000832906         773.1500007872253        773.1500008447739
2.6                      773.1500003759531        773.1500003553865        773.1500003998117        773.1500003201006        773.1500002228092        773.1500003634106
2.7                      773.1500000756747        773.1500000715429        773.1500000804416        773.1500000253847        773.1499999060088        773.1500000730872
2.8                      773.1499998933901        773.1499998992239        773.1499998865592        773.1499998556714        773.1499997482072        773.1499998968482
2.9000000000000004       773.1499998406707        773.1499998493798        773.1499998304959        773.1499998245196        773.1499997623116        773.149999845902
3                        773.1499998919863        773.1499998978835        773.1499998851065        773.1499999040035        773.149999908916         773.1499998955677
3.1                      773.1499998678753        773.1499998751005        773.1499998594865        773.1499998934221        773.1499999355301        773.1499998722886
3.2                      773.1499998592028        773.1499998669128        773.1499998502859        773.1499998943851        773.1499999699836        773.1499998639371
3.3000000000000003       773.1499998659884        773.1499998733202        773.1499998575052        773.1499999068931        773.1500000122765        773.1499998705018
3.4000000000000004       773.1499998882103        773.149999894323         773.1499998811443        773.1499999309457        773.1500000624087        773.149999891996
3.5                      773.1499999258767        773.1499999299207        773.149999921203         773.1499999665432        773.1500001203805        773.1499999284138
3.6                      773.1499999360924        773.1499999395943        773.1499999320863        773.1499999741865        773.1500001268192        773.1499999383068
3.7                      773.1499999469684        773.1499999498652        773.1499999436381        773.149999979729         773.1500001205866        773.1499999488032
3.8000000000000003       773.1499999592054        773.1499999614193        773.1499999566299        773.1499999838395        773.1500001026875        773.1499999606084
3.9000000000000004       773.1499999727873        773.1499999742563        773.1499999710618        773.1499999865179        773.1500000731216        773.1499999737155
4                        773.1499999877093        773.1499999883762        773.1499999869335        773.149999987764         773.1500000318891        773.1499999881321
4.1                      773.14999999661          773.1499999967856        773.1499999963853        773.1499999892169        773.1500000056305        773.1499999967152
4.2                      773.150000001522         773.1500000014199        773.1500000015924        773.1499999904232        773.149999986973         773.1500000014441
4.300000000000001        773.1500000044612        773.1500000042194        773.1500000047354        773.1499999909281        773.1499999685262        773.1500000042951
4.4                      773.1500000054821        773.1500000051838        773.1500000058141        773.1499999907317        773.1499999502902        773.1500000052713
4.5                      773.1500000045543        773.150000004313         773.1500000048286        773.1499999898335        773.1499999322649        773.1500000043724
4.6                      773.1500000038199        773.1500000036172        773.1500000040425        773.1499999899165        773.149999922476         773.1500000036613
4.7                      773.1500000041934        773.1500000039632        773.1500000044325        773.1499999917064        773.1499999243858        773.1500000040138
4.800000000000001        773.1500000040409        773.1500000038186        773.1500000042723        773.1499999939201        773.1499999318743        773.1500000038739
4.9                      773.1500000033725        773.1500000031832        773.1500000035621        773.1499999965578        773.1499999449419        773.1500000032299
5                        773.1500000021856        773.1500000020574        773.1500000023018        773.1499999996192        773.1499999635884        773.1500000020862
5                        773.1500000021856        773.1500000020574        773.1500000023018        773.1499999996192        773.1499999635884        773.1500000020862
6                        773.1499999998132        773.1499999998131        773.1499999997974        773.1500000014063        773.1500000238376        773.1499999998232
7                        773.1499999999646        773.1499999999739        773.1499999999611        773.1499999957225        773.1499999695012        773.1499999999602
8                        773.149999999998         773.1500000000051        773.149999999997         773.1499999984884        773.1499999716381        773.1499999999933
