% Model:              gavins_cube.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jan 29 2016, 09:11
% Table:              Table 1 - Volume Average 1 (T)
% Time (s)               volume average (K)       center (K), Point: 5     corner (K), Point: 2     surface average (K)
0                        293.02556287016756       293.00000012083774       294.538662965975         293.7320644846574
0.05                     345.16323443500085       293.341138687687         535.8499894880027        421.7112448077649
0.1                      388.49948402491066       297.8160901160735        595.6736174488061        475.7138766376995
0.15000000000000002      425.9275427570643        310.98493446365757       628.4301487907553        513.5290589939661
0.2                      458.85725669001107       332.6164143010746        649.8368532335395        542.9032611278172
0.25                     488.1488269750661        360.07522957988704       665.4650136892761        567.0356419093151
0.30000000000000004      514.5396315224764        389.63167987699387       678.0421527795835        587.828343603792
0.35000000000000003      538.3500063601476        419.69190157303905       688.3775521703851        605.9341384279445
0.4                      559.82427702158          449.2439137982154        696.9437864690293        621.7763152198703
0.45                     579.3325769258146        477.1826981062504        704.3981395461902        635.9503429755756
0.5                      597.0691001135021        503.4214051279959        710.9247066912467        648.6705423194702
0.55                     613.3452722789483        527.6165294200961        716.8834154555693        660.3202936258555
0.6000000000000001       628.0577325432889        549.885370249791         722.1537647594419        670.7717151209612
0.65                     641.5184499112238        570.4028347544071        726.9338276656216        680.3055282269072
0.7000000000000001       653.7649642422301        589.1899698625126        731.2474387052022        688.9555127185523
0.75                     664.699737391204         606.1920902769035        735.0326696774792        696.6339001112223
0.8                      674.7950248862184        621.8231287569427        738.5468838044609        703.7359440232276
0.8500000000000001       683.9483259915224        635.9932432364944        741.7342216667374        710.1758566039668
0.9                      692.0940337387732        648.644929098196         744.5589296949914        715.8987281910235
0.9500000000000001       699.6854945474334        660.3832531414553        747.2067493354781        721.2426170164706
1                        706.5152207072106        670.9312882319798        749.5926703934866        726.0528004984003
1.05                     712.6122350638398        680.3353513229144        751.726377485185         730.3494185701549
1.1                      718.2855441896155        689.0752969842553        753.7148485650532        734.3495333915192
1.1500000000000001       723.3755942997423        696.9033550400321        755.5028461751951        737.9410661517637
1.2000000000000002       727.9416742590215        703.914577075417         757.1100480614061        741.1650792310622
1.25                     732.1743699128551        710.4145092798877        758.5997089314786        744.1535688898517
1.3                      735.9644603241751        716.2280492419154        759.9355787772095        746.8308907106538
1.35                     739.4211946507336        721.5272033236502        761.1548560088775        749.2733375158532
1.4000000000000001       742.705035775138         726.5646108796179        762.3121768750772        751.592966610555
1.4500000000000002       745.7081341322697        731.1704691238132        763.3708195149344        753.7144625608828
1.5                      748.4304897221268        735.3447780562357        764.3307839284491        755.6378253668441
1.55                     750.8721025447148        739.0875376768859        765.1920701156216        757.3630550284361
1.6                      753.032972600028         742.3987479857632        765.9546780764515        758.890151545658
1.6500000000000001       755.0823047170044        745.5396224282703        766.6777516447038        760.3383087851336
1.7000000000000002       756.9877794980684        748.4602672676501        767.3499939023808        761.6847598200044
1.75                     758.6879763377685        751.0658631771054        767.9499358990877        762.886237803219
1.8                      760.1828952360977        753.3564101566366        768.4775776348241        763.9427427347765
1.85                     761.4725361930621        755.3319082062435        768.9329191095907        764.8542746146782
1.9000000000000001       762.556899208655         756.9923573259259        769.3159603233869        765.6208334429207
1.9500000000000002       763.7076961435397        758.755815468375         769.7220881420426        766.4341006692621
2                        764.7388662366203        760.3360081195831        770.0859842801805        767.1628181427203
2.0500000000000003       765.6470530573603        761.7277710497867        770.4064704330026        767.8046180407409
2.1                      766.432256605758         762.9311042589859        770.6835466005089        768.3595003633299
2.15                     767.0944768818132        763.9460077471806        770.9172127826992        768.8274651104831
2.2                      767.6769815689001        764.8387906730846        771.1227364352304        769.2390881456479
2.25                     768.2860418770109        765.7723171879863        771.337616468602         769.6694678737032
2.3000000000000003       768.8252498477032        766.5988389004873        771.5278343240235        770.0504759285842
2.35                     769.2946054809812        767.3183558105875        771.6933900014948        770.382112310288
2.4000000000000004       769.6941087768453        767.9308679182868        771.8342835010158        770.664377018813
2.45                     770.0237597352874        768.4363752235857        771.9505148225867        770.8972700541665
2.5                      770.3386591163141        768.9192342594829        772.0615529642682        771.1197467626006
2.5500000000000003       770.6517751716536        769.3992987767309        772.1719800564674        771.3409754883805
2.6                      770.9264973903574        769.8205198973234        772.268860343548         771.5350731923054
2.6500000000000004       771.1628257724217        770.1828976212602        772.3521938255099        771.7020398743736
2.7                      771.3607603178509        770.4864319485416        772.421980502353         771.8418755345916
2.75                     771.5203010266417        770.7311228791672        772.4782203740774        771.954580172952
2.8000000000000003       771.7076884400451        771.0184624514606        772.54429455456          772.0869686737865
2.85                     771.8908924395428        771.2993749490271        772.6088972809785        772.2164040497601
2.9000000000000004       772.059609682786         771.5580738580994        772.6683917530263        772.3356045098205
2.95                     772.2138401697785        771.7945591786779        772.7227779707035        772.4445700539746
3                        772.3535839005176        772.0088309107621        772.7720559340099        772.543300682221
3.0500000000000003       772.478840875002         772.2008890543522        772.8162256429457        772.6317963945523
3.1                      772.5896110932331        772.3707336094483        772.8552870975108        772.7100571909776
3.1500000000000004       772.6858945552118        772.5183645760502        772.8892402977052        772.7780830714918
3.2                      772.7676912609361        772.6437819541582        772.9180852435287        772.835874036099
3.25                     772.83500121041          772.7469857437718        772.9418219349816        772.8834300847948
