% Model:              gavins_sphere.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jan 29 2016, 09:25
% Table:              Table 2 - Volume Average 1 (T)
% Time (s)               volume average (K)       center (K), Point: 4     surface average (K)
0                        293.0206087261061        293.0000009826481        293.57402336961803
0.05                     335.8626179016012        293.2089021473067        407.19535738931535
0.1                      372.6447764863868        296.2102289411011        453.04297559565106
0.15000000000000002      405.4916700669581        306.39239157687484       486.5839602755031
0.2                      435.1221114814268        324.31193036415993       513.2844825965144
0.25                     462.0600557913549        348.15919212732774       535.8043610727545
0.30000000000000004      486.6857508996108        375.27481735756743       555.5359220744515
0.35000000000000003      509.3034916529734        403.18407904436475       573.2398694931356
0.4                      530.1672846221105        430.2220163539764        589.3924077885359
0.45                     549.3699622886021        456.20901400289716       604.0988497622733
0.5                      567.0257305053661        480.79044344150464       617.5114268795153
0.55                     583.4268421718506        503.8120859774789        629.939889951945
0.6000000000000001       598.6665257369128        525.1866405333059        641.48708652279
0.65                     612.6702586437041        544.9838915963597        652.070804971229
0.7000000000000001       625.4731032335407        563.2352970896819        661.7206816302803
0.75                     637.5122170990087        580.3330746857326        670.8062225712937
0.8                      648.5254746717148        596.0420453962698        679.1058669873195
0.8500000000000001       658.5128759516625        610.362209221294         686.6196148783584
0.9                      667.7006085025188        623.5456787027241        693.5299156016059
0.9500000000000001       676.3333417202213        635.8651665500522        700.0341264887049
1                        684.1924097968421        647.0769440994394        705.955865445729
1.05                     691.2778127323737        657.1810113508857        711.2951324726815
1.1                      697.9370820094251        666.6628935212218        716.3158047369311
1.1500000000000001       704.0937971663418        675.4158260061721        720.9598569487929
1.2000000000000002       709.6755528344488        683.3386535605675        725.1723124384105
1.25                     714.7214572596116        690.4891890580799        728.9823090220789
1.3                      719.523194399994         697.2986225828237        732.6071674566977
1.35                     723.900168986704         703.4999840563853        735.912334231766
1.4000000000000001       727.8523810197474        709.0932734787652        738.8978093472858
1.4500000000000002       731.4926219391083        714.2435613737833        741.6478767076693
1.5                      734.9102214047285        719.0815818978562        744.2292882979905
1.55                     738.0150400454133        723.4754158803432        746.57468707284
1.6                      740.8070778611664        727.4250633212442        748.6840730322238
1.6500000000000001       743.5180513527661        731.2615538166835        750.7319570466341
1.7000000000000002       746.0749998756588        734.8806559777966        752.6633908255949
1.75                     748.4426727833027        738.232010821741         754.4518263201242
1.8                      750.6210700757022        741.3156183485174        756.0972635302231
1.85                     752.6101917528586        744.1314785581257        757.5997024558874
1.9000000000000001       754.4100378147682        746.6795914505658        758.9591430971227
1.9500000000000002       756.0206082614327        748.9599570258378        760.1755854539238
2                        757.5564613580922        751.1344117510785        761.3356150410846
2.0500000000000003       759.0445040728044        753.2409671014266        762.4595687035782
2.1                      760.3979105176852        755.1569641406535        763.481821633065
2.15                     761.6166806927357        756.8824028687593        764.4023738295535
2.2                      762.700814597955         758.417283285744         765.2212252930374
2.25                     763.6503122333418        759.7616053916076        765.938376023523
2.3000000000000003       764.4651735988991        760.9153691863503        766.5538260210053
2.35                     765.1967398589109        761.9512245846165        767.1063597911261
2.4000000000000004       765.9977484447195        763.0853014989889        767.7113593251169
2.45                     766.7223757240147        764.1112533343517        768.2586655027361
2.5                      767.370621696792         765.0290800907048        768.7482783239822
2.5500000000000003       767.9424863630609        765.8387817680481        769.1801977888607
2.6                      768.4379697228147        766.5403583663815        769.5544238973665
2.6500000000000004       768.8570717760545        767.1338098857054        769.8709566495025
2.7                      769.1997925227829        767.6191363260197        770.1297960452633
2.75                     769.6038848690906        768.1913020748725        770.4349978904426
2.8000000000000003       769.9761955797128        768.7184655328576        770.716196083642
2.85                     770.3079976349416        769.1882751779623        770.9667984077278
2.9000000000000004       770.599291034779         769.6007310101865        771.1868048627044
2.95                     770.8500757792222        769.9558330295304        771.3762154485676
3                        771.0603518682752        770.2535812359939        771.5350301653206
3.0500000000000003       771.2301193019326        770.4939756295771        771.6632490129634
3.1                      771.4094959314938        770.7479689789171        771.7987266427481
3.1500000000000004       771.593923642942         771.0091082777375        771.9380202531245
3.2                      771.7578499402965        771.241218385065         772.0618297185009
3.25                     771.9012748235513        771.4442993008998        772.1701550388766
3.3000000000000003       772.0241982927097        771.6183510252419        772.2629962142518
3.35                     772.12662034777          771.7633735580911        772.3403532446245
3.4000000000000004       772.2085409887331        771.8793668994476        772.40222613
3.45                     772.2873946755055        771.9910175829158        772.4617826256889
3.5                      772.3902840870729        772.1367019734129        772.5394926198884
3.5500000000000003       772.4865020533149        772.2729398833646        772.6121638540171
3.6                      772.5760485742373        772.3997313127712        772.6797963280742
3.6500000000000004       772.6589236498345        772.5170762616327        772.7423900420642
3.7                      772.7351272801083        772.6249747299489        772.7999449959825
3.75                     772.804659465059         772.72342671772          772.852461189833
3.8000000000000003       772.8675202046842        772.812432224946         772.8999386236115
3.85                     772.9237094989894        772.8919912516267        772.9423772973206
3.9000000000000004       772.9732273479693        772.9621037977622        772.9797772109605
3.95                     773.0160737516259        773.0227698633524        773.0121383645284
4                        773.0522487099598        773.0739894483977        773.0394607580292
4.05                     773.0817522229695        773.1157625528976        773.0617443914559
4.1000000000000005       773.1045842906575        773.1480891768524        773.0789892648139
4.15                     773.1207449130203        773.170969320262         773.0911953781062
4.2                      773.1216508997355        773.1722514041086        773.091879771806
4.25                     773.1184427752612        773.1677087742736        773.0894567738077
4.3                      773.1152346507854        773.1631661444386        773.0870337758162
4.3500000000000005       773.1120265263144        773.1586235146034        773.0846107778195
4.4                      773.1088184018412        773.1540808847684        773.0821877798247
4.45                     773.1056102773625        773.1495382549333        773.0797647818338
4.5                      773.1024021528891        773.1449956250981        773.0773417838351
4.55                     773.0991940284144        773.1404529952631        773.0749187858427
4.6000000000000005       773.0959859039427        773.1359103654281        773.0724957878487
4.65                     773.0927777794674        773.1313677355929        773.0700727898553
4.7                      773.0895696549929        773.1268251057579        773.0676497918588
4.75                     773.0863615305209        773.1222824759228        773.0652267938663
4.800000000000001        773.0831534060445        773.1177398460876        773.0628037958676
4.8500000000000005       773.0799452815706        773.1131972162526        773.060380797873
4.9                      773.076737157098         773.1086545864176        773.0579577998786
4.95                     773.0735290326244        773.1041119565824        773.0555348018847
5                        773.0703209081479        773.0995693267474        773.0531118038897
5.050000000000001        773.0671127836744        773.0950266969123        773.0506888058934
5.1000000000000005       773.0639046592017        773.0904840670771        773.0482658079007
5.15                     773.0606965347258        773.0859414372421        773.0458428099057
5.2                      773.0583752266898        773.0826545847258        773.0440895861002
5.25                     773.0563852470957        773.0798369101897        773.0425866003756
5.300000000000001        773.0543952674993        773.0770192356536        773.0410836146445
5.3500000000000005       773.0524052879048        773.0742015611173        773.0395806289188
5.4                      773.050415308311         773.0713838865812        773.0380776431916
5.45                     773.0484253287162        773.0685662120451        773.0365746574627
5.5                      773.0464353491218        773.065748537509         773.0350716717353
5.550000000000001        773.0444453695277        773.0629308629728        773.0335686860072
5.6000000000000005       773.0424553899345        773.0601131884368        773.0320657002774
5.65                     773.0404654103401        773.0572955139006        773.0305627145513
5.7                      773.0384754307448        773.0544778393645        773.0290597288225
5.75                     773.0364854511512        773.0516601648284        773.027556743095
5.800000000000001        773.0344954715573        773.0488424902923        773.0260537573694
5.8500000000000005       773.0325054919634        773.0460248157561        773.0245507716389
5.9                      773.0305155123662        773.0432071412199        773.0230477859127
5.95                     773.0285255327738        773.0403894666838        773.0215448001871
6                        773.0265355531777        773.0375717921477        773.0200418144551
6.050000000000001        773.0245455735844        773.0347541176117        773.0185388287298
6.1000000000000005       773.0225555939915        773.0319364430756        773.0170358430008
6.15                     773.0205656143959        773.0291187685394        773.01553285727
6.2                      773.0194727384131        773.0275713493307        773.0147074301743
6.25                     773.0187150343222        773.0264985173122        773.0141351495399
6.300000000000001        773.0179573302294        773.0254256852935        773.0135628689047
6.3500000000000005       773.0171996261386        773.024352853275         773.0129905882706
6.4                      773.0164419220481        773.0232800212564        773.0124183076379
6.45                     773.015684217958         773.0222071892379        773.0118460270002
6.5                      773.0149265138658        773.0211343572194        773.0112737463672
6.550000000000001        773.0141688097726        773.0200615252007        773.0107014657315
6.6000000000000005       773.0134111056831        773.0189886931822        773.0101291850981
6.65                     773.012653401592         773.0179158611635        773.0095569044645
6.7                      773.0118956975009        773.0168430291449        773.0089846238284
6.75                     773.0111379934116        773.0157701971264        773.0084123431952
6.800000000000001        773.0103802893174        773.0146973651078        773.0078400625597
6.8500000000000005       773.0096225852252        773.0136245330892        773.0072677819247
6.9                      773.008864881135         773.0125517010707        773.0066955012902
6.95                     773.0081071770448        773.0114788690521        773.006123220656
7                        773.0073494729529        773.0104060370335        773.0055509400223
7.050000000000001        773.0065917688598        773.0093332050149        773.0049786593889
7.1000000000000005       773.0058340647702        773.0082603729963        773.0044063787528
7.15                     773.0050763606794        773.0071875409777        773.0038340981199
7.2                      773.0045382538448        773.0064256398753        773.0034276748572
7.25                     773.004107338595         773.0058155128837        773.0031022112375
7.300000000000001        773.0037055281424        773.0052465957953        773.0027987298832
7.3500000000000005       773.0033328224947        773.0047188886097        773.0025172307977
7.4                      773.0029892216401        773.0042323913272        773.0022577139756
7.45                     773.002674725586         773.0037871039477        773.0020201794196
7.5                      773.0023893343307        773.0033830264714        773.0018046271325
7.550000000000001        773.0021330478719        773.0030201588979        773.001611057112
7.6000000000000005       773.0019058662112        773.0026985012279        773.001439469357
7.65                     773.0017077893493        773.0024180534606        773.0012898638688
7.7                      773.0015388172885        773.0021788155963        773.0011622406446
7.75                     773.0013989500216        773.0019807876351        773.0010565996919
7.800000000000001        773.001288187556         773.0018239695771        773.000972941
7.8500000000000005       773.0012065298881        773.0017083614221        773.0009112645798
7.9                      773.0011539770214        773.00163396317          773.0008715704237
7.95                     773.0011305289491        773.0016007748211        773.0008538585348
8                        773.0011361856757        773.0016087963752        773.0008581289107
8.05                     773.0011709472028        773.0016580278323        773.0008843815533
8.1                      773.0012348135276        773.0017484691925        773.0009326164648
8.15                     773.0013277846479        773.0018801204557        773.0010028336415
8.200000000000001        773.0012903147618        773.0018270730419        773.0009745322594
8.25                     773.0012040708814        773.0017049632099        773.0009093933028
8.3                      773.0011257860504        773.0015941219975        773.0008502657809
8.35                     773.0010554602685        773.001494549405         773.0007971496887
8.4                      773.0009930935348        773.0014062454319        773.0007500450193
