% Model:              all_models_pine_case_sol1.mph
% Version:            COMSOL 4.3.2.164
% Date:               Sep 24 2015, 14:23
% Table:              700tempsPine - 
% Time                   Tv (K)                   Tst (K), Point: 71       Tc (K), Point: 74        Tl (K), Point: 75        Tw (K), Point: 76        Tsa (K)
0                        293.82488556043967       298.4750782122062        293.15281568927804       298.8404925058235        299.1296607009913        299.5202034200078
0.05                     463.3781627269398        497.76290382506585       429.41874192141523       482.97047023585407       465.18906545492973       486.0276356247932
0.1                      551.4958391848157        581.3731003013681        522.2207056485141        561.7933950378803        548.5005289794112        568.3022879282557
0.15000000000000002      608.0812217170989        632.5380618044736        583.9561062824082        613.9910994722582        603.8337971467565        620.8448833508588
0.2                      647.6585229733594        667.3905332632968        628.0859087421665        651.2113178444705        643.3562829999853        657.4878396221158
0.25                     676.6110307924434        692.4382562201384        660.8452446805308        678.7987774610605        672.6825331655557        684.2431057541871
0.30000000000000004      698.0634272562023        710.7292704291503        685.4069812001279        699.4605161314123        694.6639381995205        704.0379581081218
0.35000000000000003      714.3748954166774        724.4999349003917        704.2328698490657        715.2868016304608        711.5088644698199        719.0742504193879
0.4                      727.0690055873125        735.1423478317563        718.9661041390581        727.6665044707701        724.689331632347         730.7678734519844
0.45                     737.0135930649834        743.4335271476165        730.5594768880396        737.4039262624298        735.058944423551         739.9236189320044
0.5                      744.6988850827446        749.8047280117524        739.5594800011329        744.9607710308736        743.108756878275         746.9954162518225
0.55                     750.7591805634975        754.8104057210902        746.6771144757114        750.935924373124         749.4747909603457        752.5700071643712
0.6000000000000001       755.4889461540467        758.7030743305107        752.2478831742197        755.6116754792308        754.457171083153         756.9192330353349
0.65                     759.1792265618564        761.7319419992435        756.6037577037059        759.2672749969498        758.352887202509         760.3117418765663
0.7000000000000001       762.0777997506178        764.1066988398038        760.0300512888585        762.1424850848455        761.4171454894732        762.9759739352601
0.75                     764.3783565609616        765.9893280559534        762.751950633419         764.42643580337          763.8513732114915        765.0903045512181
0.8                      766.2823256948878        767.5465070315215        765.0056573494479        766.3174017676977        765.8667169068401        766.8400482680302
0.8500000000000001       767.8201155157074        768.80347464551          766.8267427621337        767.8452472580227        767.4949787079254        768.2531888490348
0.9                      769.0141795747784        769.77858558743          768.2418008575173        769.0323308024641        768.7600508070875        769.3503640888184
0.9500000000000001       770.0102857631136        770.5918409061118        769.4224974654013        770.0228856909931        769.8158155724026        770.2656301188485
1                        770.7317262191951        771.1800921003801        770.278496376555         770.7410116196535        770.5812950374607        770.9284421909127
1                        770.7317262191951        771.1800921003801        770.278496376555         770.7410116196535        770.5812950374607        770.9284421909127
1.1                      771.7660810530995        772.0230790234084        771.5062310947687        771.7709732299595        771.6793274523939        771.8786974245191
1.2                      772.3592550585159        772.5060740836144        772.2107950977567        772.3620234398969        772.3096034731051        772.4235985973312
1.3                      772.7011700322093        772.7844325048336        772.6169832402553        772.7027926477294        772.6730134195391        772.7376848509032
1.4                      772.9039531866842        772.9495493812822        772.857856272518         772.904882588154         772.8885202542706        772.9239660020506
1.5                      773.0479543910137        773.0668169806848        773.0288876044249        773.0483634608349        773.0414947607741        773.0562494638825
1.6                      773.1406599076943        773.1423336570022        773.1389660233123        773.1406905049939        773.1398845053798        773.1414124988214
1.7000000000000002       773.1860252303986        773.1793100122532        773.1928043907976        773.1858313875505        773.1879480973711        773.1830883189011
1.8                      773.2170395499198        773.2045839241065        773.2296221318965        773.2167258005843        773.2208888052497        773.2115809314923
1.9                      773.2159934727235        773.2037481723626        773.2283653130867        773.2156909227125        773.2198086652005        773.2106224143432
2                        773.2089606206046        773.1980313448512        773.2200033221998        773.208691670395         773.2123863287383        773.2041634736868
2.1                      773.2024472979103        773.1927307361073        773.2122641329581        773.2022072221414        773.2055286127733        773.1981806702884
2.2                      773.1881528523932        773.1810884739076        773.1952882737687        773.1879717897563        773.1904220922839        773.1850492575271
2.3                      773.1801999921693        773.1746108828271        773.1858448941894        773.1800551531227        773.1820170842408        773.1777436015643
2.4000000000000004       773.172091381748         773.1680043286507        773.1762191289494        773.1719843270835        773.1734355009517        773.1702946765645
2.5                      773.1648590458154        773.1621106948288        773.1676348286975        773.1647863122257        773.1657726471542        773.1636506395973
2.6                      773.1598866584499        773.1580587260609        773.1617328558726        773.1598380467325        773.1604970389661        773.1590827203796
2.7                      773.1562922212015        773.1551289241075        773.1574672718885        773.1562618258415        773.1566725968988        773.1557805961273
2.8                      773.1535683818025        773.1529088234466        773.1542347017034        773.1535515493894        773.1537769443567        773.1532782699331
2.9000000000000004       773.1517890381017        773.1514585013524        773.1521230293362        773.1517809329149        773.1518861676063        773.1516436161348
3                        773.1508244068148        773.1506720809322        773.1509783648613        773.1508210184031        773.1508604833896        773.1507574008447
3.1                      773.1496880009346        773.1497458177116        773.149629703648         773.1496901731001        773.1496546968599        773.14971340679
3.2                      773.1488792549795        773.1490866281111        773.1486698970659        773.1488853739672        773.148797964931         773.1489704298972
3.3000000000000003       773.1483981689851        773.1486945121308        773.1480989451151        773.1484066210044        773.1482902876029        773.1485284701581
3.4000000000000004       773.1482447429431        773.1485694697703        773.1479168477956        773.1482539142114        773.1481316648757        773.148387527577
3.5                      773.1484189768486        773.1487115010301        773.1481236051076        773.1484272535887        773.1483220967491        773.1485476021569
3.6                      773.1482949104415        773.1486103718485        773.147976363436         773.1483037365259        773.1481927587488        773.1484336231925
3.7                      773.1482822613531        773.1486000521338        773.1479613520868        773.1482910792918        773.148181424958         773.148421998946
3.8000000000000003       773.1483916204502        773.1486891747355        773.1480911396907        773.1483998210189        773.1482994114792        773.1485224592358
3.9000000000000004       773.148622987741         773.1488777396537        773.1483657262479        773.148629961707         773.1485467183127        773.1487350040851
4                        773.1489763632104        773.1491657468881        773.1487851117582        773.1489815013565        773.1489233454581        773.1490596334877
4.1                      773.1491794546193        773.149331266934         773.149026144738         773.1491835474199        773.149139338141         773.1492462040046
4.2                      773.149307618158         773.1494357182119        773.1491782565307        773.1493110687143        773.149274940601         773.1493639421888
4.300000000000001        773.1494363909618        773.1495406666502        773.1493310932659        773.1494392141078        773.1494105897988        773.1494822408567
4.4                      773.1495657730324        773.1496461122489        773.149484654943         773.1495679836007        773.1495462857339        773.1496011000062
4.5                      773.1496957644256        773.1497520550081        773.1496389415622        773.1496973771929        773.1496820284069        773.1497205196433
4.6                      773.1498016706229        773.1498383680884        773.1497646396275        773.1498027878855        773.1497925009442        773.1498178122444
4.7                      773.1498728393246        773.1498963694436        773.1498491042752        773.149873601041         773.1498667824923        773.1498831911908
4.800000000000001        773.1499281000844        773.1499414058402        773.1499146871214        773.1499285795591        773.1499241772317        773.1499339557561
4.9                      773.1499674528657        773.1499734772783        773.1499613881662        773.1499677234395        773.1499646851626        773.1499701059458
