	sphere				Shell model (no microstructure) 				Microstructure model		
Time(s)	Volume averaged	surface	center		volume averaged	surface	center		volume averaged	surface	center
0	293.15001	293.15003	293.15		293.15	293.15	293.15		293.15	293.14982	293.15
0.05	359.99112	414.61916	300.12268		379.56483	454.93534	337.48294		377.46365	470.26586	321.82355
0.1	409.3904	463.72398	334.34686		439.75808	523.1254	392.89226		435.49713	534.72385	371.48518
0.15	449.78711	500.89523	373.35649		485.33757	568.08036	438.84328		480.32938	577.79296	416.53914
0.2	484.22294	531.52371	410.6372		522.78236	602.14971	477.98793		517.47851	610.50621	456.31592
0.25	514.68244	558.12952	445.31457		554.43985	629.20074	511.88921		548.08472	635.42033	490.5223
0.3	541.06692	580.81282	476.63792		582.46637	652.09705	542.38777		574.17188	655.44303	520.43553
0.35	564.03278	600.35474	504.58309		606.59642	670.81191	569.11715		596.6268	671.81937	546.68315
0.4	584.15065	617.35416	529.42965		627.25765	686.05469	592.3894		616.10464	685.39935	569.8036
0.45	601.88912	632.26656	551.55003		644.98864	698.55916	612.66775		633.10461	696.78596	590.24705
0.5	617.6213	645.43829	571.30813		660.27394	708.91987	630.39604		648.6127	706.89918	609.05426
0.55	631.64378	657.13764	589.02216		673.51423	717.58809	645.95523		662.4211	715.61322	625.97315
0.6	644.19535	667.57754	604.9595		685.0336	724.90218	659.66109		674.60107	723.04308	641.0579
0.65	655.47066	676.93013	619.34244		695.09413	731.11798	671.77335		685.32803	729.3782	654.48373
0.7	665.63055	685.33673	632.35656		703.90935	736.43208	682.5066		694.78682	734.79984	666.44313
0.75	674.80948	692.91484	644.1583		711.65498	740.99809	692.0396		703.14435	739.4612	677.11395
0.8	683.12106	699.76324	654.88097		718.47708	744.93802	700.52271		710.5447	743.48709	686.65226
0.85	690.66223	705.96573	664.63926		724.49807	748.35009	708.08352		717.11065	746.97843	695.19276
0.9	697.51632	711.59403	673.53267		729.82147	751.31435	714.83125		722.94674	750.01717	702.85138
0.95	703.75552	716.70995	681.64812		734.53534	753.89667	720.86		728.14236	752.67037	709.72824
1	709.4427	721.36712	689.06197		738.71508	756.15173	726.25136		732.77429	754.99337	715.91014
1.05	714.633	725.61233	695.84163		742.42558	758.12523	731.07646		736.90878	757.03226	721.47269
1.1	719.37495	729.48663	702.0469		745.72293	759.85566	735.39758		740.60329	758.82567	726.48208
1.15	723.71147	733.02621	707.73098		748.65583	761.37556	739.26945		743.90784	760.40619	730.99647
1.2	727.68068	736.26307	712.9414		751.26665	762.71262	742.74034		746.86614	761.80153	735.0672
1.25	731.31654	739.22567	717.72073		753.59245	763.8905	745.85294		749.51648	763.03529	738.73973
1.3	734.64939	741.93935	722.1072		755.66566	764.92946	748.6451		751.89256	764.12773	742.05441
1.35	737.70644	744.42678	726.13525		757.51477	765.84695	751.15045		754.02406	765.09628	745.04717
1.4	740.51215	746.70827	729.83595		759.16485	766.65803	753.3989		755.93721	765.956	747.75009
1.45	743.08852	748.80209	733.23737		760.63798	767.37575	755.41713		757.65523	766.71993	750.19183
1.5	745.45544	750.72468	736.36498		761.95369	768.01141	757.22895		759.1987	767.39942	752.39809
1.55	747.63089	752.4909	739.24184		763.12922	768.57487	758.85564		760.58592	768.00433	754.3919
1.6	749.63113	754.11416	741.88894		764.17986	769.07469	760.31622		761.83315	768.54332	756.19396
1.65	751.47095	755.60664	744.32537		765.11915	769.51839	761.62773		762.9549	769.02393	757.82287
1.7	753.16378	756.97937	746.5685		765.95912	769.91251	762.80543		763.96407	769.45279	759.2954
1.75	754.72183	758.24237	748.63419		766.71046	770.2628	763.86299		764.87223	769.83573	760.62663
1.8	756.15622	759.40477	750.53692		767.38266	770.57432	764.81267		765.68967	770.17788	761.83018
1.85	757.47711	760.47488	752.28991		767.98417	770.8515	765.66548		766.42563	770.48376	762.91831
1.9	758.69375	761.46029	753.90526		768.52253	771.09825	766.43128		767.08836	770.75736	763.90212
1.95	759.81462	762.3679	755.39404		769.00445	771.318	767.11895		767.68525	771.00221	764.79159
2	760.84745	763.20403	756.76639		769.43589	771.51379	767.73644		768.22294	771.22144	765.59578
2.05	761.79933	763.97448	758.03161		769.82221	771.6883	768.29089		768.70737	771.41781	766.32284
2.1	762.67674	764.68452	759.19822		770.16817	771.8439	768.78872		769.14388	771.59377	766.98016
2.15	763.48565	765.339	760.27403		770.478	771.98269	769.2357		769.53726	771.75152	767.57442
2.2	764.23149	765.94236	761.26624		770.75552	772.10653	769.637		769.89182	771.89299	768.11163
2.25	764.91927	766.49867	762.18144		771.00411	772.21705	769.99728		770.21141	772.0199	768.59727
2.3	765.55359	767.01167	763.02568		771.22682	772.31572	770.32072		770.49951	772.13378	769.03627
2.35	766.13866	767.48478	763.80454		771.42634	772.40384	770.61107		770.75926	772.23601	769.43309
2.4	766.67837	767.92116	764.52314		771.60511	772.48254	770.87171		770.99345	772.32781	769.79176
2.45	767.17627	768.32369	765.1862		771.76529	772.55286	771.10566		771.20463	772.41026	770.11594
2.5	767.63565	768.69504	765.79805		771.90883	772.6157	771.31565		771.39506	772.48432	770.40894
2.55	768.05951	769.03765	766.36268		772.03745	772.67186	771.50413		771.56679	772.55088	770.67373
2.6	768.45063	769.35377	766.88377		772.15272	772.72207	771.67328		771.72168	772.61071	770.91303
2.65	768.81156	769.64546	767.3647		772.25603	772.76696	771.8251		771.86137	772.66449	771.12928
2.7	769.14466	769.91464	767.80859		772.34862	772.80711	771.96134		771.98737	772.71285	771.32469
2.75	769.45208	770.16306	768.21831		772.43161	772.84302	772.0836		772.10103	772.75635	771.50126
2.8	769.73582	770.39233	768.59651		772.50599	772.87514	772.19331		772.20355	772.79547	771.6608
2.85	769.99772	770.60394	768.94562		772.57266	772.90388	772.29176		772.29603	772.83067	771.80494
2.9	770.23947	770.79925	769.2679		772.63242	772.9296	772.3801		772.37946	772.86235	771.93518
2.95	770.46263	770.97954	769.56542		772.68599	772.95261	772.45936		772.45473	772.89086	772.05283
3	770.66863	771.14596	769.84009		772.73401	772.97321	772.53047		772.52263	772.91652	772.15912
3.05	770.8588	771.29959	770.09367		772.77705	772.99165	772.59428		772.5839	772.93962	772.25514
3.1	771.03437	771.44141	770.32779		772.81564	773.00815	772.65152		772.63917	772.96041	772.34187
3.15	771.19645	771.57234	770.54394		772.85023	773.02293	772.70288		772.68904	772.97914	772.42022
3.2	771.3461	771.69321	770.74351		772.88124	773.03616	772.74895		772.73403	772.99601	772.49099
3.25	771.48426	771.8048	770.92777		772.90904	773.04801	772.79028		772.77463	773.0112	772.55491
3.3	771.61182	771.90784	771.09791		772.93396	773.05862	772.82736		772.81127	773.02488	772.61264
3.35	771.7296	772.00296	771.25501		772.95631	773.06813	772.86062		772.84432	773.03721	772.66479
3.4	771.83835	772.0908	771.40006		772.97634	773.07664	772.89046		772.87415	773.04832	772.71188
3.45	771.93876	772.17189	771.534		772.9943	773.08426	772.91722		772.90106	773.05832	772.75441
3.5	772.03148	772.24677	771.65768		773.0104	773.09109	772.94123		772.92535	773.06734	772.79282
